@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1,3-24,26-31,33-48,50-54,56-76,80-83,85-101,103-119,121-146,148-159,161-173,175-186'

@attribute color_bgr_g_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_centroid numeric
@attribute color_norm_r_asymetry numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_energy numeric
@attribute wavelet_bgr_b_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.718358,-0.413501,0.709677,-0.414489,-0.370968,-0.952423,-0.967321,-0.548872,0.141136,-0.982429,-0.115378,-0.875556,0.176548,-0.906435,ULCER
-0.794343,-0.530305,0.580645,-0.531074,-0.508065,-0.901563,-0.938304,-0.56391,0.140851,-0.972104,-0.170652,-0.873884,-0.015485,-0.939099,ULCER
-0.733683,-0.402932,0.741935,-0.404032,-0.451613,-0.905909,-0.94388,-0.548872,0.140895,-0.900449,-0.209378,-0.773345,0.386306,-0.779441,ULCER
-0.540055,-0.241325,0.677419,-0.242183,-0.298387,-0.866157,-0.908496,-0.413534,0.140871,-0.507186,-0.288462,-0.597796,0.158208,-0.709661,ULCER
-0.602821,-0.286955,0.741935,-0.287808,-0.330645,-0.918898,-0.935284,-0.413534,0.1409,-0.827271,-0.453778,-0.496323,0.524615,-0.768372,ULCER
-0.676271,-0.3954,0.645161,-0.395966,-0.403226,-0.957395,-0.966176,-0.428571,0.14112,-0.976167,-0.077819,-0.889722,0.244568,-0.94236,ULCER
-0.738546,-0.43359,0.677419,-0.434414,-0.451613,-0.907785,-0.929055,-0.548872,0.140926,-0.755362,0.003618,-0.731733,0.377735,-0.711168,ULCER
-0.710373,-0.458378,0.483871,-0.459315,-0.5,-0.728233,-0.847471,-0.533835,0.140817,-0.905103,-0.155466,-0.589582,0.410153,-0.881765,ULCER
-0.810844,-0.524912,0.677419,-0.525888,-0.5,-0.929632,-0.955492,-0.62406,0.141005,-0.981457,-0.165378,-0.827353,0.065415,-0.919487,ULCER
-0.642484,-0.35136,0.645161,-0.352292,-0.370968,-0.885191,-0.907345,-0.473684,0.140791,-0.857443,-0.225063,-0.698138,0.246122,-0.666417,ULCER
-0.804577,-0.441044,0.806452,-0.442177,-0.483871,-0.90002,-0.933299,-0.593985,0.140904,-0.937895,-0.054067,-0.821303,0.334155,-0.808934,ULCER
-0.675982,-0.406939,0.580645,-0.407867,-0.427419,-0.878145,-0.920481,-0.458647,0.140981,-0.851947,-0.137896,-0.803251,0.215351,-0.856157,ULCER
-0.664285,-0.316511,0.806452,-0.317521,-0.354839,-0.91768,-0.93024,-0.518797,0.140834,-0.945424,-0.120296,-0.700991,0.088528,-0.776389,ULCER
-0.804161,-0.598495,0.387097,-0.599344,-0.612903,-0.787189,-0.871249,-0.593985,0.140843,-0.904173,-0.333102,-0.646541,0.412978,-0.890981,ULCER
-0.810429,-0.578889,0.516129,-0.579943,-0.540323,-0.857256,-0.901253,-0.473684,0.140709,-0.961912,-0.292724,-0.744768,0.247876,-0.897888,ULCER
-0.784979,-0.460118,0.709677,-0.461419,-0.475806,-0.944886,-0.958968,-0.62406,0.141111,-0.963254,0.033979,-0.887509,0.125306,-0.882967,ULCER
-0.774306,-0.434248,0.806452,-0.435084,-0.403226,-0.957817,-0.981729,-0.578947,0.141152,-0.98774,-0.223634,-0.845454,-0.175992,-0.958989,ULCER
-0.713624,-0.4202,0.677419,-0.421279,-0.403226,-0.899934,-0.941034,-0.413534,0.140794,-0.927011,-0.288813,-0.705762,0.247717,-0.897396,ULCER
-0.569711,-0.256892,0.709677,-0.258067,-0.290323,-0.870392,-0.929381,-0.473684,0.14109,-0.57692,-0.069414,-0.186444,0.307618,-0.694852,ULCER
-0.829388,-0.619558,0.419355,-0.620248,-0.58871,-0.814581,-0.903141,-0.488722,0.140792,-0.958075,-0.108568,-0.698974,0.29038,-0.951275,ULCER
-0.6522,-0.342643,0.709677,-0.343911,-0.403226,-0.90849,-0.952191,-0.338346,0.140414,-0.934198,-0.173338,-0.84929,0.151145,-0.849725,ULCER
-0.794268,-0.520136,0.612903,-0.520445,-0.483871,-0.94239,-0.958543,-0.503759,0.14091,-0.97385,-0.046803,-0.878458,0.382522,-0.919778,ULCER
-0.661074,-0.317696,0.774194,-0.318563,-0.330645,-0.910853,-0.958373,-0.503759,0.140877,-0.885035,-0.045456,-0.756523,-0.029672,-0.926537,ULCER
-0.776197,-0.444319,0.741935,-0.445431,-0.419355,-0.880487,-0.924411,-0.609023,0.140958,-0.943344,-0.085044,-0.697302,0.029773,-0.952813,ULCER
-0.646477,-0.306623,0.774194,-0.307849,-0.330645,-0.853541,-0.916813,-0.56391,0.140831,-0.836416,-0.25633,-0.679939,0.116266,-0.756567,ULCER
-0.337368,-0.182997,0.032258,-0.183872,-0.129032,-0.986539,-0.992149,0.007519,0.14355,-0.952916,0.139998,-0.925481,0.738021,-0.848333,NON_ULCER
-0.007745,0.136763,-0.096774,0.135849,0.169355,-0.99201,-0.993472,0.067669,0.140301,-0.913551,-0.508491,-0.878262,-0.40245,-0.823827,NON_ULCER
-0.037138,0.115598,0,0.114319,0.153226,-0.993034,-0.998471,0.022556,0.121237,-0.920699,-0.005205,-0.884951,0.525483,-0.813517,NON_ULCER
0.294923,0.417127,-0.16129,0.416357,0.362903,-0.998945,-0.99907,0.022556,0.162011,-0.966852,0.330056,-0.939647,0.078531,-0.882374,NON_ULCER
0.186575,0.325386,-0.032258,0.324586,0.25,-0.992247,-0.995902,0.037594,0.136837,-0.838974,0.170518,-0.825681,0.45656,-0.828606,NON_ULCER
0.250205,0.358057,-0.193548,0.357127,0.266129,-0.992312,-0.997197,0.082707,0.140248,-0.896279,-0.236582,-0.884312,-0.073007,-0.78965,NON_ULCER
-0.195233,-0.035476,0.064516,-0.036669,-0.104839,-0.995205,-0.998693,-0.022556,0.159368,-0.965546,0.195374,-0.956076,0.480523,-0.922666,NON_ULCER
