@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-13,15-25,27-29,31-39,41-52,54-76,78-86,88-92,94-120,122-131,133-179,181-186'

@attribute color_bgr_g_intensity1 numeric
@attribute color_lab_a_mean numeric
@attribute color_lab_b_variance numeric
@attribute color_lab_l_intensity2 numeric
@attribute color_luv_u_variance numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_intensity1 numeric
@attribute color_norm_r_frequency1 numeric
@attribute haralick_lab_b_correlation numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_g_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.386454,0.241765,-0.949124,-0.104839,-0.87056,-0.959106,-0.392157,-0.992,-0.997418,-0.889745,-0.936681,ULCER
-0.601594,0.692893,-0.494329,-0.225806,-0.713056,-0.975155,0,-0.84,0.034371,-0.883289,-0.876229,ULCER
-0.689243,0.674605,-0.937581,-0.387097,-0.902976,-0.930589,0.04902,-0.728,0.163356,-0.85974,-0.832796,ULCER
-0.776892,0.719096,-0.963094,-0.435484,-0.950976,-0.965839,0.137255,-0.768,-0.264097,-0.967317,-0.935852,ULCER
-0.314741,0.48544,-0.976182,-0.040323,-0.957035,-0.985768,-0.245098,-0.984,-0.995815,-0.952633,-0.958442,ULCER
-0.768924,0.748494,-0.969288,-0.395161,-0.954687,-0.95664,0.127451,-0.936,-0.336282,-0.898117,-0.956,ULCER
-0.776892,0.757651,-0.95449,-0.362903,-0.930161,-0.927071,0.22549,-0.728,0.186578,-0.889605,-0.928793,ULCER
-0.370518,0.513775,-0.957243,0.370968,-0.940775,-0.972864,-0.235294,-0.976,-0.987513,-0.755443,-0.948948,ULCER
-0.760956,0.745172,-0.904359,-0.419355,-0.913663,-0.890811,0.215686,-0.856,-0.280802,-0.768397,-0.824831,ULCER
-0.864542,0.803704,-0.83889,-0.435484,-0.914725,-0.88385,0.284314,-0.896,-0.587659,-0.92397,-0.874419,ULCER
-0.808765,0.584392,-0.880275,-0.548387,-0.597355,-0.958947,0.22549,-0.632,0.507149,-0.976427,-0.953651,ULCER
-0.856574,0.686772,-0.782348,-0.524194,-0.596864,-0.893509,0.264706,-0.856,0.037609,-0.935617,-0.911336,ULCER
-0.816733,0.715375,-0.957056,-0.451613,-0.91238,-0.953151,0.254902,-0.728,0.297149,-0.964063,-0.96151,ULCER
-0.083665,0.430961,-0.766365,0.201613,-0.83864,-0.942872,-0.401961,-0.968,-0.992036,-0.857992,-0.895436,ULCER
-0.792829,0.624985,-0.818958,-0.524194,-0.594539,-0.970694,0.245098,-0.744,-0.066531,-0.982436,-0.934033,ULCER
-0.768924,0.676053,-0.91105,-0.427419,-0.808694,-0.860876,0.176471,-0.824,0.005811,-0.917044,-0.905397,ULCER
-0.737052,0.673571,-0.901803,-0.443548,-0.749527,-0.963869,0.127451,-0.768,-0.138958,-0.916764,-0.887969,ULCER
-0.776892,0.707968,-0.838651,-0.41129,-0.921691,-0.91864,0.196078,-0.832,0.352282,-0.831623,-0.800027,ULCER
-0.816733,0.72508,-0.877585,-0.516129,-0.908278,-0.891243,0.362745,-0.872,-0.275817,-0.960635,-0.94301,ULCER
-0.665339,0.733125,-0.908438,-0.395161,-0.721699,-0.873921,0.107843,-0.816,0.0168,-0.859088,-0.797886,ULCER
-0.49004,0.43165,-0.875952,0.322581,-0.861719,-0.892951,-0.382353,-0.992,-0.993501,-0.788677,-0.940291,ULCER
-0.912351,0.355422,-0.678627,-0.774194,-0.304953,-0.825584,0.323529,-0.864,0.167928,-0.907339,-0.903465,ULCER
-0.752988,0.53315,-0.863636,-0.451613,-0.700703,-0.854091,0.107843,-0.776,0.489767,-0.900192,-0.8935,ULCER
-0.641434,0.566657,-0.827245,-0.5,-0.63816,-0.912369,0.058824,-0.776,-0.086841,-0.816069,-0.910783,ULCER
-0.2749,0.133772,-0.947744,-0.024194,-0.888871,-0.982023,-0.45098,-0.808,-0.140182,-0.941023,-0.29818,NON_ULCER
-0.258964,0.044418,-0.961722,-0.080645,-0.980753,-0.989772,-0.352941,-0.128,0.252994,-0.975142,-0.904902,NON_ULCER
-0.075697,-0.040285,-0.951625,0.16129,-0.983223,-0.996549,-0.421569,-0.472,-0.508089,-0.955074,-0.425943,NON_ULCER
-0.035857,-0.013632,-0.870081,0.112903,-0.969956,-0.980631,-0.421569,-0.432,-0.246029,-0.930898,-0.837126,NON_ULCER
-0.203187,0.137717,-0.976128,-0.056452,-0.931809,-0.974028,-0.372549,-0.448,0.032054,-0.980491,-0.938447,NON_ULCER
0.003984,0.021235,-0.987111,1,-0.992716,-0.997027,-0.470588,-0.976,-0.99566,-0.956892,-0.983759,NON_ULCER
0.14741,-0.085961,-0.955536,0.258065,-0.929534,-0.988545,-0.470588,-0.256,-0.281704,-0.916781,-0.90153,NON_ULCER
-0.23506,0.120336,-0.947319,-0.048387,-0.964575,-0.97819,-0.382353,-0.696,-0.549103,-0.922296,-0.48893,NON_ULCER
-0.187251,0.041457,-0.98567,-0.040323,-0.952683,-0.99414,-0.421569,-0.984,-0.997005,-0.965176,-0.979316,NON_ULCER
0.290837,-0.219647,-0.983082,0.403226,-0.960461,-0.996438,-0.519608,-0.408,-0.537485,-0.93209,-0.913601,NON_ULCER
0.14741,-0.042155,-0.926599,0.274194,-0.877519,-0.988983,-0.470588,-0.312,0.20841,-0.894331,-0.853478,NON_ULCER
0.155378,-0.148861,-0.944708,0.274194,-0.910694,-0.993179,-0.5,-0.344,0.253751,-0.844697,-0.855458,NON_ULCER
0.243028,-0.092621,-0.969547,0.290323,-0.916051,-0.99083,-0.490196,-0.712,-0.679003,-0.899539,-0.94903,NON_ULCER
-0.40239,0.213029,-0.895881,-0.225806,-0.904972,-0.972851,-0.323529,-0.672,0.109154,-0.891812,-0.446469,NON_ULCER
-0.227092,-0.037822,-0.994361,-0.080645,-0.981886,-0.99795,-0.372549,0.128,-0.227078,-0.988976,-0.952976,NON_ULCER
-0.330677,0.099792,-0.962751,-0.120968,-0.984174,-0.991179,-0.303922,-0.384,-0.326921,-0.965397,-0.919567,NON_ULCER
-0.322709,0.143451,-0.896781,-0.056452,-0.952133,-0.987316,-0.343137,-0.328,0.282593,-0.957266,-0.953823,NON_ULCER
-0.370518,-0.077739,-0.980337,-0.217742,-0.949914,-0.996338,-0.352941,-0.072,-0.107171,-0.980737,-0.935314,NON_ULCER
0.155378,-0.060387,-0.973752,0.241935,-0.933208,-0.990299,-0.490196,-0.608,-0.422622,-0.857242,-0.890242,NON_ULCER
0.075697,-0.070877,-0.943226,0.201613,-0.930567,-0.981337,-0.460784,-0.352,0.216794,-0.831182,-0.796158,NON_ULCER
-0.282869,0.131878,-0.966858,-0.112903,-0.966716,-0.990215,-0.323529,-0.552,-0.356361,-0.96718,-0.922215,NON_ULCER
-0.40239,0.043265,-0.927317,-0.185484,-0.946272,-0.981001,-0.323529,-0.216,0.318744,-0.87762,-0.891946,NON_ULCER
-0.027888,-0.032069,-0.938761,0.145161,-0.977085,-0.991791,-0.480392,-0.68,-0.748558,-0.922077,-0.882614,NON_ULCER
0.179283,-0.032318,-0.985018,0.193548,-0.980761,-0.996665,-0.460784,-0.544,-0.73522,-0.890211,-0.913336,NON_ULCER
0.195219,-0.118814,-0.957756,0.330645,-0.957992,-0.992617,-0.539216,-0.656,-0.712483,-0.871724,-0.8364,NON_ULCER
-0.195219,0.010548,-0.978048,-0.040323,-0.981946,-0.989393,-0.45098,-0.672,-0.601673,-0.937051,-0.933579,NON_ULCER
-0.330677,-0.097848,-0.972324,-0.129032,-0.943966,-0.994992,-0.352941,-0.4,-0.016483,-0.967789,-0.921994,NON_ULCER
-0.442231,0.075652,-0.976347,-0.282258,-0.859596,-0.972924,-0.313725,-0.232,0.253505,-0.952894,-0.905097,NON_ULCER
-0.075697,-0.021056,-0.982248,0.080645,-0.957279,-0.987003,-0.490196,-0.808,-0.094356,-0.881495,-0.910327,NON_ULCER
-0.458167,0.339421,-0.913255,-0.225806,-0.898105,-0.975746,-0.264706,-0.624,0.056578,-0.926163,-0.444857,NON_ULCER
-0.2749,0.034455,-0.969309,-0.145161,-0.973099,-0.990792,-0.401961,-0.184,-0.008409,-0.930692,-0.915898,NON_ULCER
-0.426295,0.280094,-0.930495,-0.274194,-0.669424,-0.967203,-0.27451,-0.632,-0.524755,-0.936636,-0.920525,NON_ULCER
0.075697,-0.091714,-0.989544,0.306452,-0.959098,-0.993373,-0.470588,-0.616,-0.625106,-0.934689,-0.894858,NON_ULCER
-0.505976,-0.11275,-0.98022,-0.33871,-0.963185,-0.994152,-0.313725,-0.624,-0.661092,-0.978653,-0.928949,NON_ULCER
-0.187251,0.010982,-0.915928,-0.040323,-0.956283,-0.992254,-0.392157,-0.104,0.240521,-0.950591,-0.891022,NON_ULCER
-0.561753,-0.181141,-0.885268,-0.467742,-0.842032,-0.956619,-0.294118,-0.672,-0.30736,-0.916507,-0.900839,NON_ULCER
-0.043825,0.0411,-0.754209,0.145161,-0.862276,-0.985759,-0.421569,-0.84,-0.718062,-0.688324,-0.83803,NON_ULCER
-0.418327,-0.013098,-0.96049,-0.290323,-0.945918,-0.977375,-0.323529,-0.448,-0.270853,-0.98382,-0.906429,NON_ULCER
-0.035857,-0.02897,-0.89922,0.096774,-0.939751,-0.994455,-0.460784,-0.416,-0.25848,-0.893709,-0.789324,NON_ULCER
-0.298805,0.179244,-0.909655,-0.120968,-0.819132,-0.963493,-0.362745,-0.648,0.082828,-0.850346,-0.729595,NON_ULCER
-0.243028,0.027223,-0.946123,-0.193548,-0.955606,-0.989808,-0.382353,-0.304,-0.072101,-0.899822,-0.799729,NON_ULCER
-0.52988,-0.077919,-0.977485,-0.427419,-0.930987,-0.986407,-0.294118,-0.544,-0.253311,-0.953747,-0.897416,NON_ULCER
-0.330677,-0.01023,-0.948738,-0.193548,-0.961,-0.985457,-0.343137,-0.168,0.01813,-0.973656,-0.922745,NON_ULCER
-0.952191,-0.470581,-0.945982,-0.91129,-0.966981,-0.828444,-0.313725,-0.872,-0.587988,-0.971216,-0.964033,NON_ULCER
-0.155378,0.093397,-0.986135,0.064516,-0.903934,-0.967565,-0.421569,-0.568,-0.145021,-0.88932,-0.777544,NON_ULCER
0.099602,-0.084976,-0.959642,0.25,-0.841633,-0.97582,-0.54902,-0.872,-0.62127,-0.83973,-0.862235,NON_ULCER
-0.370518,0.110308,-0.819404,0.112903,-0.92496,-0.964714,-0.343137,-0.44,-0.391303,-0.903326,-0.877787,NON_ULCER
-0.784861,-0.180645,-0.810168,-0.733871,-0.819719,-0.85888,-0.147059,-0.808,0.051957,-0.897864,-0.880429,NON_ULCER
-0.346614,0.335072,-0.87033,-0.209677,-0.920831,-0.967386,-0.284314,-0.6,-0.508221,-0.955796,-0.308448,NON_ULCER
-0.083665,0.071527,-0.890817,0.072581,-0.919897,-0.948459,-0.441176,-0.816,-0.681238,-0.815978,-0.847413,NON_ULCER
-0.171315,0.131894,-0.963617,0.056452,-0.949067,-0.990002,-0.421569,-0.568,-0.341295,-0.884732,-0.883524,NON_ULCER
-0.40239,0.035369,-0.754628,-0.217742,-0.916045,-0.965582,-0.362745,-0.536,0.235536,-0.919838,-0.857683,NON_ULCER
-0.625498,-0.136103,-0.939009,-0.532258,-0.926522,-0.990955,-0.313725,-0.552,0.023408,-0.939553,-0.894659,NON_ULCER
-0.2749,0.107001,-0.977584,0.064516,-0.968951,-0.993485,-0.411765,-0.456,-0.532424,-0.951573,-0.935026,NON_ULCER
-0.123506,-0.00322,-0.870961,0.072581,-0.923701,-0.982075,-0.460784,-0.8,-0.393137,-0.927156,-0.821541,NON_ULCER
0.187251,-0.154991,-0.961873,0.225806,-0.952732,-0.992559,-0.529412,-0.536,-0.503141,-0.862504,-0.859161,NON_ULCER
-0.450199,-0.007659,-0.891077,-0.322581,-0.959945,-0.976457,-0.294118,-0.712,-0.14955,-0.940475,-0.508849,NON_ULCER
-0.187251,-0.05272,-0.994318,-0.096774,-0.987518,-0.995918,-0.352941,-0.56,-0.362343,-0.98034,-0.95185,NON_ULCER
-0.314741,0.033042,-0.863413,-0.064516,-0.815762,-0.964987,-0.382353,-0.832,-0.485103,-0.782902,-0.873928,NON_ULCER
-0.298805,0.15275,-0.922706,-0.225806,-0.928146,-0.982027,-0.303922,-0.776,-0.616356,-0.949711,-0.92856,NON_ULCER
-0.561753,-0.160198,-0.988805,-0.491935,-0.996107,-0.983219,-0.235294,-0.92,-0.47953,-0.975493,-0.942701,NON_ULCER
-0.211155,0.002129,-0.962483,-0.040323,-0.946786,-0.988586,-0.392157,0.048,0.361311,-0.958349,-0.931535,NON_ULCER
-0.713147,-0.249593,-0.929858,-0.669355,-0.94426,-0.983111,-0.303922,-0.656,0.363177,-0.958025,-0.932459,NON_ULCER
-0.2749,-0.054343,-0.981387,-0.137097,-0.984962,-0.996682,-0.362745,-0.224,-0.01321,-0.949112,-0.928374,NON_ULCER
-0.61753,-0.194431,-0.966892,-0.564516,-0.975194,-0.994863,-0.303922,-0.6,-0.178367,-0.973926,-0.932565,NON_ULCER
-0.346614,0.002381,-0.981394,-0.096774,-0.983356,-0.993294,-0.372549,-0.408,-0.189131,-0.976716,-0.934773,NON_ULCER
-0.290837,0.008541,-0.977107,-0.048387,-0.966612,-0.98819,-0.372549,-0.416,-0.075423,-0.974092,-0.898624,NON_ULCER
0.035857,-0.06547,-0.985691,0.169355,-0.952176,-0.995292,-0.490196,-0.968,-0.994518,-0.948741,-0.932994,ULCER
0.027888,-0.213167,-0.906426,0.16129,-0.955881,-0.996598,-0.509804,-0.784,-0.752561,-0.802175,-0.856722,ULCER
0.219124,-0.33927,-0.961299,0.225806,-0.950651,-0.992762,-0.588235,-0.592,-0.708497,-0.787459,-0.799844,ULCER
0.067729,-0.258737,-0.934301,0.145161,-0.969295,-0.992185,-0.54902,-0.736,-0.767025,-0.792534,-0.847396,ULCER
-0.163347,-0.142487,-0.954717,0.112903,-0.837217,-0.988799,-0.54902,-0.864,-0.745631,-0.707144,-0.845486,ULCER
-0.250996,-0.044989,-0.909604,-0.120968,-0.807517,-0.982645,-0.431373,-0.72,-0.380593,-0.856318,-0.788232,ULCER
-0.346614,-0.050483,-0.87009,-0.120968,-0.879759,-0.9891,-0.441176,-0.704,-0.483046,-0.739895,-0.640466,ULCER
-0.043825,-0.005075,-0.991266,0.306452,-0.962299,-0.991295,-0.5,-0.928,-0.955493,-0.704863,-0.86432,ULCER
