@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-14,16-24,26,28-37,40-46,48-76,78-88,90-131,133-185'

@attribute color_bgr_r_intensity1 numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_lab_b_intensity1 numeric
@attribute color_lab_a_frequency2 numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_g_intensity2 numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.032787,-0.434755,0.663464,-0.2,-0.266667,-0.382114,-0.961172,-0.263158,-0.982301,-0.893324,ULCER
0.040984,-0.424386,0.557374,-0.228571,-0.306667,-0.569106,-0.928798,-0.136842,-0.863406,-0.686283,ULCER
-0.270492,-0.553646,0.40059,-0.314286,-0.386667,-0.747967,-0.846166,-0.073684,-0.876197,-0.915627,ULCER
0.098361,-0.292261,0.629307,-0.157143,-0.293333,-0.869919,-0.844116,0.157895,-0.715229,-0.883065,ULCER
0.008197,-0.412711,0.640295,-0.2,-0.4,0,-0.964759,-0.073684,-0.949125,-0.882209,ULCER
-0.319672,-0.613579,0.352435,-0.314286,-0.453333,-0.731707,-0.778409,0.010526,-0.842718,-0.884051,ULCER
0.147541,-0.25917,0.568603,-0.171429,-0.293333,-0.569106,-0.859205,-0.052632,-0.668964,-0.849509,ULCER
0.188525,-0.286158,0.625052,-0.171429,-0.293333,-0.666667,-0.865362,0.452632,-0.646421,-0.912289,ULCER
-0.098361,-0.429934,0.498073,-0.414286,-0.453333,-0.479675,-0.739947,0.326316,-0.893711,-0.907253,ULCER
-0.07377,-0.515616,0.445315,-0.3,-0.36,-0.707317,-0.788804,-0.115789,-0.893713,-0.925637,ULCER
0.057377,-0.397841,0.660291,-0.185714,-0.266667,-0.227642,-0.911688,-0.242105,-0.916862,-0.918179,ULCER
0.04918,-0.152586,0.242722,-0.542857,-0.453333,-0.292683,-0.988782,0.494737,-0.980787,-0.924574,NON_ULCER
-0.057377,-0.248864,0.185413,-0.514286,-0.493333,-0.317073,-0.99057,0.452632,-0.985405,-0.94227,NON_ULCER
-0.057377,-0.203819,0.237827,-0.571429,-0.466667,-0.235772,-0.997531,0.515789,-0.977203,-0.949732,NON_ULCER
-0.065574,-0.238001,0.19057,-0.514286,-0.506667,-0.788618,-0.955959,0.431579,-0.957327,-0.933214,NON_ULCER
-0.188525,-0.340579,0.2108,-0.571429,-0.48,-0.487805,-0.99428,0.473684,-0.971175,-0.919336,NON_ULCER
-0.270492,-0.421048,0.187222,-0.571429,-0.48,-0.463415,-0.990328,0.473684,-0.944991,-0.920228,NON_ULCER
-0.02459,-0.213405,0.202791,-0.514286,-0.48,-0.723577,-0.939528,0.326316,-0.932333,-0.914034,NON_ULCER
0.467213,0.290486,0.07071,-0.557143,-0.546667,-0.317073,-0.992908,0.536842,-0.689637,-0.897881,NON_ULCER
0.459016,0.220544,-0.122251,-0.514286,-0.64,-0.699187,-0.985488,0.494737,-0.505047,-0.875343,NON_ULCER
