@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-41,43-72,75-77,79-103,105-130,132-146,148-158,160-185'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_b_intensity2 numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_entropy numeric
@attribute haralick_luv_v_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.305439,-0.4,-0.533687,-0.269493,-0.933484,0.435887,-0.673859,-0.886519,0.761211,-0.898797,ULCER
-0.121339,-0.36,-0.491838,-0.184576,-0.980976,0.072334,-0.453456,-0.888072,0.574084,-0.924959,ULCER
-0.054393,-0.306667,-0.569174,-0.269675,-0.94084,0.190915,-0.231086,-0.906101,0.834719,-0.939824,ULCER
-0.037657,-0.306667,-0.537115,-0.229058,-0.92712,0.295669,-0.21826,-0.894498,0.820524,-0.914012,ULCER
-0.171548,-0.36,-0.449971,-0.15429,-0.95718,0.370696,-0.283775,-0.871725,0.652418,-0.910104,ULCER
0.029289,-0.333333,-0.446597,-0.143743,-0.93398,0.459608,-0.329261,-0.838211,0.813125,-0.900929,ULCER
0.062762,-0.306667,-0.421409,-0.091632,-0.962179,0.444989,-0.278534,-0.832776,0.852169,-0.879469,ULCER
-0.054393,-0.28,-0.562666,-0.241523,-0.975496,-0.064477,-0.256238,-0.920637,0.806939,-0.897303,ULCER
-0.104603,-0.36,-0.394938,-0.051286,-0.915782,0.445803,-0.340006,-0.869611,0.829301,-0.892401,ULCER
-0.004184,-0.346667,-0.359366,-0.03762,-0.905011,0.44223,-0.307908,-0.869913,0.684321,-0.897275,ULCER
0.012552,-0.373333,-0.333621,-0.01932,-0.92296,0.501516,-0.391581,-0.875305,0.851299,-0.906311,ULCER
-0.179916,-0.373333,-0.403235,-0.081551,-0.858673,0.233513,-0.222937,-0.752119,0.740763,-0.879185,ULCER
-0.322176,-0.44,-0.563098,-0.285686,-0.873149,0.318438,-0.129538,-0.70834,0.660298,-0.886633,ULCER
-0.523013,-0.453333,-0.505005,-0.226449,-0.654965,0.555619,-0.624363,-0.62022,0.776351,-0.771616,ULCER
0.004184,-0.346667,-0.322507,0.051356,-0.785692,0.677177,-0.658949,-0.743881,0.767698,-0.754324,ULCER
0.037657,-0.293333,-0.443726,-0.103884,-0.914444,0.456735,-0.261591,-0.861028,0.810455,-0.85516,ULCER
0.004184,-0.32,-0.4773,-0.175741,-0.967217,0.215304,-0.341263,-0.910759,0.821999,-0.936301,ULCER
0.037657,-0.28,-0.515939,-0.171895,-0.941154,0.295382,-0.187752,-0.820742,0.893335,-0.861804,ULCER
0.154812,-0.293333,-0.436724,-0.06426,-0.963345,0.340192,-0.223334,-0.859561,0.837828,-0.872853,ULCER
-0.012552,-0.333333,-0.4108,-0.06491,-0.954136,0.173355,-0.027487,-0.89122,0.806352,-0.926946,ULCER
-0.322176,-0.386667,-0.456158,-0.126377,-0.779554,0.559344,-0.512524,-0.717354,0.641337,-0.884345,ULCER
0.338912,-0.546667,0.111455,0.446653,-0.995877,0.436585,-0.259646,-0.933878,0.67162,0.298721,NON_ULCER
0.154812,-0.453333,-0.020916,0.539273,-0.999187,-0.032838,-0.234437,-0.959714,0.769879,-0.95372,NON_ULCER
-0.046025,-0.48,-0.072245,0.510001,-0.992605,0.343156,-0.265239,-0.932282,0.643977,-0.907134,NON_ULCER
0.020921,-0.52,-0.017557,0.401633,-0.994433,0.637029,-0.617031,-0.894585,0.663053,-0.8633,NON_ULCER
0.146444,-0.546667,0.081713,0.352401,-0.995709,0.652944,-0.862879,-0.965322,0.008365,-0.629679,NON_ULCER
0.129707,-0.453333,-0.036019,0.560328,-0.997872,0.269218,-0.271127,-0.95924,0.610955,-0.967298,NON_ULCER
-0.062762,-0.466667,-0.091667,0.519236,-0.992495,0.480373,-0.386456,-0.938838,0.697365,-0.93476,NON_ULCER
-0.004184,-0.52,-0.027304,0.43671,-0.997963,0.208376,-0.277655,-0.927969,0.83703,-0.868453,NON_ULCER
0.054393,-0.506667,-0.000819,0.399763,-0.989552,0.627362,-0.63772,-0.921758,0.778469,-0.866177,NON_ULCER
0.514644,-0.533333,0.154248,0.624784,-0.997812,0.512811,-0.270121,-0.913951,0.912593,-0.91645,NON_ULCER
0.456067,-0.52,0.137832,0.617991,-0.998392,0.487155,-0.276744,-0.916539,0.829728,-0.915051,NON_ULCER
0.046025,-0.466667,-0.025775,0.312432,-0.981783,0.637252,-0.791049,-0.952253,0.714216,-0.228638,NON_ULCER
0.230126,-0.453333,-0.0263,0.479923,-0.990307,0.488476,-0.27369,-0.919127,0.783865,-0.919615,NON_ULCER
0.205021,-0.493333,0.019515,0.42344,-0.998262,0.090173,-0.221966,-0.915633,0.811274,-0.946252,NON_ULCER
0.104603,-0.546667,0.082967,0.401261,-0.998198,0.612499,-0.778145,-0.96489,0.496127,0.362621,NON_ULCER
-0.104603,-0.48,-0.080136,0.516809,-0.985321,0.595626,-0.455633,-0.928789,0.536794,-0.886654,NON_ULCER
-0.573222,-0.56,-0.191691,0.402324,-0.893694,0.511446,-0.264927,-0.757122,0.695749,-0.917293,NON_ULCER
0.48954,-0.546667,0.176542,0.582763,-0.995002,0.695526,-0.289322,-0.878885,0.853381,-0.880652,NON_ULCER
-0.096234,-0.466667,-0.110584,0.485688,-0.960086,0.483818,-0.267949,-0.8948,0.670329,-0.913375,NON_ULCER
0.39749,-0.546667,0.110454,0.510598,-0.995563,0.634687,-0.152886,-0.922405,0.813305,-0.917435,NON_ULCER
-0.029289,-0.48,-0.054119,0.435243,-0.996493,0.125152,-0.2745,-0.897043,0.838351,-0.943592,NON_ULCER
0.405858,-0.533333,0.11327,0.553101,-0.99483,0.732729,-0.413224,-0.88488,0.820448,-0.920916,NON_ULCER
0.096234,-0.493333,-0.044377,0.310716,-0.983151,0.650739,-0.811593,-0.908387,0.594567,-0.913796,NON_ULCER
0.472803,-0.52,0.123705,0.611369,-0.997304,0.555129,-0.246032,-0.857405,0.857634,-0.938086,NON_ULCER
0.129707,-0.493333,0.014125,0.467577,-0.993699,0.473873,-0.437895,-0.811296,0.716389,-0.867192,NON_ULCER
0.121339,-0.546667,0.07898,0.430086,-0.983074,0.676514,-0.261366,-0.847786,0.76087,-0.802863,NON_ULCER
0.238494,-0.613333,0.155684,0.455436,-0.946863,0.804329,-0.435603,-0.637387,0.739354,-0.862958,NON_ULCER
0.179916,-0.533333,0.031279,0.327828,-0.9864,0.661943,-0.830215,-0.95428,0.476106,-0.212338,NON_ULCER
0.246862,-0.48,0.015984,0.50389,-0.99303,0.5246,-0.221015,-0.915547,0.751499,-0.90171,NON_ULCER
-0.573222,-0.56,-0.091913,0.504059,-0.955661,0.449969,-0.316984,-0.735211,0.50958,-0.916458,NON_ULCER
0.447699,-0.653333,0.253323,0.572102,-0.998276,0.683183,-0.854755,-0.941599,0.641742,-0.891959,NON_ULCER
-0.523013,-0.493333,-0.322894,0.348279,-0.814591,0.509953,-0.245535,-0.814531,0.816532,-0.858642,NON_ULCER
0.322176,-0.586667,0.175683,0.49421,-0.988428,0.653377,-0.109717,-0.879575,0.723085,-0.863992,NON_ULCER
-0.372385,-0.493333,-0.153257,0.504274,-0.98904,0.472034,-0.252136,-0.913045,0.820923,-0.86928,NON_ULCER
0.104603,-0.573333,0.129126,0.47945,-0.994901,0.536023,-0.142262,-0.920119,0.70509,-0.934455,NON_ULCER
-0.271967,-0.453333,-0.140451,0.524188,-0.987699,0.47284,-0.27795,-0.94065,0.750901,-0.844837,NON_ULCER
0.355649,-0.546667,0.105928,0.501753,-0.993507,0.629852,-0.119102,-0.912053,0.769594,-0.844053,NON_ULCER
0.104603,-0.453333,-0.038697,0.529956,-0.998479,0.278603,-0.40423,-0.961353,0.713227,-0.934775,NON_ULCER
