@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-24,26-31,33-48,50-72,74,76-77,79-101,103-115,117-127,129-137,139-146,148,150-166,168,170,172-174,176-185'

@attribute color_bgr_b_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_r_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_a_correlation numeric
@attribute haralick_luv_v_energy numeric
@attribute haralick_bgr_br_energy numeric
@attribute haralick_lab_ab_contrast numeric
@attribute haralick_lab_ab_entropy numeric
@attribute lbph_bgr_r_entropy numeric
@attribute wavelet_bgr_b_3_lh_entropy numeric
@attribute wavelet_bgr_b_3_hl_entropy numeric
@attribute wavelet_bgr_g_3_lh_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.652562,-0.279956,0.78125,-0.281109,-0.354616,0.118913,-0.931824,-0.854098,-0.939903,-0.75552,-0.911125,-0.694847,0.932817,0.810804,0.265162,0.265227,0.265098,-0.943615,ULCER
-0.759108,-0.358909,0.78125,-0.360204,-0.488965,0.258249,-0.927765,-0.957352,-0.940231,-0.670253,-0.884099,-0.864679,0.908434,0.725658,0.263425,0.262282,0.26336,-0.920313,ULCER
-0.771584,-0.366507,0.8125,-0.367871,-0.503066,0.271305,-0.948567,-0.951543,-0.950841,-0.65924,-0.888869,-0.888976,0.925038,0.77801,0.224396,0.224458,0.224333,-0.957197,ULCER
-0.64832,-0.329726,0.65625,-0.330816,-0.310383,0.074276,-0.879949,-0.721146,-0.955827,-0.871067,-0.928212,-0.658579,0.964659,0.816391,0.209121,0.209183,0.209059,-0.942273,ULCER
-0.707866,-0.311913,0.8125,-0.312559,-0.432958,0.19494,-0.869644,-0.901228,-0.93288,-0.71059,-0.870551,-0.682554,0.926263,0.752314,0.286873,0.286939,0.286807,-0.914664,ULCER
-0.173572,-0.014084,0.625,-0.014959,0.062719,-0.272516,-0.929879,-0.921789,-0.9688,-0.954548,-0.950533,-0.61321,0.984118,0.376935,0.144008,0.144067,0.14395,-0.873476,ULCER
-0.715876,-0.353261,0.78125,-0.354471,-0.414587,0.207352,-0.881007,-0.975722,-0.96361,-0.865128,-0.927923,-0.843141,0.946116,0.451965,0.165316,0.165375,0.165256,-0.936267,ULCER
-0.764312,-0.386336,0.78125,-0.387607,-0.477194,0.260633,-0.912437,-0.987675,-0.960059,-0.8188,-0.886922,-0.8812,0.948225,0.526607,0.18407,0.184131,0.184009,-0.904231,ULCER
-0.774664,-0.386236,0.78125,-0.38768,-0.496848,0.280112,-0.938993,-0.900002,-0.945461,-0.642343,-0.871833,-0.879265,0.91526,0.877916,0.245474,0.245538,0.24541,-0.96093,ULCER
-0.809226,-0.420142,0.78125,-0.421529,-0.539257,0.333096,-0.973872,-0.972907,-0.943165,-0.51105,-0.814376,-0.929723,0.901681,0.823156,0.253686,0.25375,0.253621,-0.964893,ULCER
-0.573815,-0.240836,0.75,-0.241831,-0.272748,0.029684,-0.829716,-0.807658,-0.950239,-0.891148,-0.927321,-0.513797,0.96819,0.898095,0.230293,0.230356,0.23023,-0.907499,ULCER
-0.450211,-0.037597,0.59375,-0.036522,-0.255858,-0.101541,-0.91144,-0.922465,-0.999637,-0.993914,-0.994753,-0.937142,0.999524,0.07552,-0.692347,-0.692331,-0.692363,-1,ULCER
-0.759537,-0.385378,0.75,-0.387303,-0.463555,0.222192,-0.9424,-0.970295,-0.927589,-0.556833,-0.836644,-0.907146,0.890584,0.858644,0.304086,0.304153,0.304019,-0.968783,ULCER
-0.703368,-0.284461,0.78125,-0.285846,-0.43632,0.156819,-0.928862,-0.870904,-0.908481,-0.662539,-0.837993,-0.586905,0.906969,0.896769,0.349167,0.349237,0.349098,-0.91025,ULCER
-0.7156,-0.362783,0.6875,-0.363575,-0.410464,0.169563,-0.872705,-0.843118,-0.946234,-0.676727,-0.911163,-0.819202,0.928068,0.739202,0.246397,0.246461,0.246333,-0.891753,ULCER
-0.749824,-0.400441,0.6875,-0.401682,-0.434529,0.194028,-0.915909,-0.927797,-0.936399,-0.722855,-0.891957,-0.85124,0.914783,0.672797,0.280359,0.280425,0.280293,-0.91046,ULCER
-0.735862,-0.289124,0.8125,-0.290413,-0.495503,0.210062,-0.93783,-0.913907,-0.948285,-0.755677,-0.900347,-0.859626,0.93326,0.795726,0.234161,0.234224,0.234098,-0.948639,ULCER
-0.705617,-0.284143,0.8125,-0.284585,-0.44206,0.181651,-0.94671,-0.968552,-0.943522,-0.737822,-0.878049,-0.819417,0.924018,0.817225,0.250973,0.249778,0.250909,-0.933269,ULCER
-0.019992,0.083404,0.34375,0.082412,0.150249,-0.369663,-0.980832,-0.962384,-0.94294,-0.821169,-0.889199,-0.857296,0.920266,0.682419,0.269462,0.269527,0.269397,-0.879577,ULCER
-0.145882,-0.002546,0.40625,-0.00386,0.096763,-0.320376,-0.991418,-0.975314,-0.957977,-0.870479,-0.899538,-0.895857,0.939401,0.725267,0.207024,0.207086,0.206962,-0.9442,ULCER
-0.148505,-0.015628,0.375,-0.016732,0.105415,-0.326074,-0.977017,-0.956799,-0.941671,-0.88043,-0.899927,-0.813002,0.925668,0.644779,0.272857,0.272923,0.272792,-0.870805,ULCER
-0.792367,-0.416523,0.78125,-0.417719,-0.503934,0.300062,-0.979582,-0.980857,-0.94045,-0.486813,-0.833832,-0.938754,0.886183,0.848952,0.263425,0.26349,0.26336,-0.958733,ULCER
-0.764693,-0.398141,0.71875,-0.399709,-0.459111,0.227031,-0.97489,-0.987303,-0.938395,-0.588396,-0.848175,-0.905103,0.906308,0.875424,0.272012,0.272077,0.271947,-0.950548,ULCER
-0.789073,-0.441402,0.6875,-0.442699,-0.481468,0.262761,-0.958761,-0.990258,-0.949618,-0.570405,-0.870213,-0.960221,0.898624,0.697706,0.233199,0.233262,0.233136,-0.930384,ULCER
-0.692657,-0.326687,0.71875,-0.327948,-0.394584,0.150081,-0.881731,-0.796403,-0.912895,-0.69742,-0.878926,-0.740109,0.895795,0.808786,0.341217,0.341285,0.341148,-0.877844,ULCER
-0.65652,-0.294627,0.71875,-0.295891,-0.346199,0.07376,-0.912303,-0.945256,-0.955317,-0.798695,-0.90445,-0.734052,0.958623,0.84219,0.210164,0.210226,0.210102,-0.897293,ULCER
-0.769194,-0.376397,0.78125,-0.378116,-0.504261,0.278709,-0.846331,-0.894191,-0.944844,-0.729642,-0.892209,-0.791571,0.937024,0.806883,0.248236,0.2483,0.248172,-0.916019,ULCER
-0.654879,-0.289585,0.71875,-0.290811,-0.343357,0.080429,-0.965023,-0.955009,-0.932459,-0.750967,-0.854108,-0.794868,0.915718,0.82383,0.290873,0.290939,0.290807,-0.944242,ULCER
-0.747243,-0.409411,0.6875,-0.410831,-0.417279,0.1837,-0.923484,-0.965984,-0.960098,-0.83259,-0.909474,-0.833321,0.961016,0.785029,0.188581,0.188642,0.186968,-0.944497,ULCER
-0.681928,-0.358022,0.6875,-0.359343,-0.336368,0.09204,-0.961383,-0.953345,-0.958474,-0.821925,-0.927615,-0.823144,0.942666,0.606343,0.197402,0.197463,0.197341,-0.907674,ULCER
-0.392521,-0.181912,0.46875,-0.183069,-0.04307,-0.17314,-0.938788,-0.957473,-0.958909,-0.933609,-0.929922,-0.758314,0.966748,0.779084,0.198487,0.198548,0.198425,-0.938952,ULCER
-0.696143,-0.35269,0.71875,-0.353979,-0.374127,0.146869,-0.910618,-0.918623,-0.941621,-0.731904,-0.899288,-0.747742,0.928139,0.988357,0.261678,0.261742,0.261613,-0.871899,ULCER
-0.794651,-0.427965,0.71875,-0.429538,-0.500422,0.274425,-0.986522,-0.984755,-0.956284,-0.549718,-0.858324,-0.954057,0.909298,0.816526,0.203851,0.203913,0.203789,-0.958017,ULCER
-0.809879,-0.441931,0.71875,-0.443109,-0.535807,0.315911,-0.929442,-0.954787,-0.951073,-0.688049,-0.885717,-0.911446,0.921328,0.585977,0.226374,0.226437,0.226311,-0.903316,ULCER
-0.866811,-0.574626,0.5625,-0.575739,-0.565476,0.348891,-0.969493,-0.995062,-0.95015,-0.780221,-0.856693,-0.912916,0.930716,0.402083,0.23703,0.237093,0.236966,-0.890256,ULCER
-0.827456,-0.479874,0.65625,-0.481313,-0.536785,0.324153,-0.978279,-0.990591,-0.946235,-0.721175,-0.853074,-0.916356,0.918245,0.467714,0.246397,0.246461,0.246333,-0.968289,ULCER
-0.850517,-0.465393,0.75,-0.466644,-0.606488,0.410762,-0.956412,-0.981369,-0.937376,-0.680307,-0.837395,-0.925136,0.904965,0.683492,0.2737,0.273766,0.273635,-0.956723,ULCER
-0.83394,-0.453498,0.75,-0.455067,-0.575959,0.366756,-0.942519,-0.974079,-0.936812,-0.667276,-0.844212,-0.92123,0.905226,0.787328,0.276215,0.27628,0.276149,-0.93604,ULCER
-0.775155,-0.427297,0.6875,-0.428691,-0.460355,0.258069,-0.961793,-0.982655,-0.970384,-0.708642,-0.927662,-0.948896,0.948723,0.584981,0.126623,0.126681,0.126566,-0.959422,ULCER
-0.754935,-0.408,0.6875,-0.409311,-0.431477,0.208973,-0.974675,-0.985425,-0.938399,-0.730404,-0.883817,-0.904601,0.908065,0.703151,0.272857,0.272923,0.272792,-0.872125,ULCER
-0.755506,-0.44893,0.6875,-0.450037,-0.394699,0.147038,-0.910487,-0.952865,-0.977556,-0.912776,-0.941175,-0.70782,0.981453,0.651454,0.078952,0.079007,0.078897,-0.953911,ULCER
-0.782739,-0.423993,0.71875,-0.425067,-0.481173,0.263807,-0.956399,-0.959814,-0.938146,-0.594948,-0.853799,-0.884318,0.895761,0.903451,0.272857,0.272923,0.272792,-0.902753,ULCER
-0.174851,0.008533,0.25,0.008075,0.070548,-0.365926,-0.989993,-0.963446,-0.902538,-0.702936,-0.849793,-0.89428,0.853498,0.897877,0.384289,0.38436,0.384218,0.043793,NON_ULCER
0.045733,0.301768,-0.125,0.301144,0.069175,-0.452489,-0.996035,-0.97767,-0.955497,-0.827441,-0.893661,-0.946244,0.898275,0.836805,0.240812,0.240876,0.240748,-0.916158,NON_ULCER
-0.343554,-0.056438,0.03125,-0.056146,-0.057375,-0.334257,-0.99745,-0.993567,-0.961584,-0.666368,-0.870359,-0.969933,0.89913,0.785626,0.20597,0.206032,0.205908,-0.959987,NON_ULCER
-0.368684,-0.075493,0.09375,-0.076523,-0.075524,-0.305631,-0.998545,-0.995346,-0.959348,-0.716954,-0.864261,-0.972477,0.897414,0.723063,0.2143,0.214362,0.214238,-0.968577,NON_ULCER
-0.139396,0.150306,0,0.150207,0.003213,-0.38999,-0.998632,-0.984356,-0.94049,-0.636265,-0.861262,-0.946603,0.85359,0.824781,0.294035,0.294101,0.293968,-0.935044,NON_ULCER
-0.368839,-0.130693,0.1875,-0.131575,-0.036022,-0.293014,-0.989074,-0.916188,-0.946491,-0.853568,-0.892347,-0.870341,0.927874,0.751809,0.265162,0.265227,0.265098,-0.921104,NON_ULCER
-0.147104,0.117787,0,0.116793,0.019325,-0.391236,-0.99706,-0.959546,-0.919677,-0.783668,-0.855753,-0.910156,0.850179,0.842214,0.353065,0.353134,0.352996,-0.025179,NON_ULCER
-0.406381,-0.086477,0.125,-0.088085,-0.116638,-0.281652,-0.99447,-0.990364,-0.959285,-0.774748,-0.883105,-0.954594,0.904209,0.805828,0.2143,0.214362,0.214238,-0.957876,NON_ULCER
-0.34994,-0.072673,0.1875,-0.073346,-0.062239,-0.292837,-0.994358,-0.981715,-0.958071,-0.866376,-0.89192,-0.933522,0.930093,0.767533,0.217365,0.217427,0.217302,-0.962616,NON_ULCER
-0.292265,-0.044793,0.1875,-0.044081,-0.015608,-0.31834,-0.997289,-0.992699,-0.958435,-0.685495,-0.867717,-0.96341,0.90076,0.758216,0.215325,0.215387,0.215263,-0.97118,NON_ULCER
0.001183,0.225799,0.15625,0.225164,0.074225,-0.412458,-0.99674,-0.984157,-0.960113,-0.835534,-0.894169,-0.94155,0.924229,0.649329,0.211203,0.211266,0.211141,-0.932274,NON_ULCER
0.121686,0.332642,0.03125,0.331802,0.105576,-0.455006,-0.997105,-0.971987,-0.959687,-0.846979,-0.903441,-0.927681,0.926189,0.827593,0.217365,0.217427,0.217302,-0.973167,NON_ULCER
0.241857,0.43668,-0.15625,0.436394,0.135031,-0.495022,-0.997351,-0.922602,-0.938681,-0.806371,-0.899666,-0.873746,0.891234,0.845667,0.305603,0.30567,0.305536,-0.891337,NON_ULCER
